PIBR01L;DGCL;RLGCL;IPCA;SELIC;TCR;DP
13,19357788;11,44567401;11,33562031;0,3500;1,8567;-3,3207;0,442939702
13,18701067;11,61767292;11,42754703;0,5200;2,0842;-4,9951;0,539960823
13,1904086;11,4650508;11,22555037;0,4400;1,7743;-2,3551;0,621844312
13,14294889;11,57121493;11,29927516;0,0800;1,6795;1,6080;0,659031592
13,17229531;11,42027601;11,79073454;0,2600;1,6421;-2,2488;0,031099857
13,20298695;11,63518856;11,2190698;0,1800;1,3435;4,4627;0,845933408
13,24679338;11,95994455;11,45017346;0,3000;1,3733;0,0918;1,008693908
13,21611481;11,52076935;11,68513082;0,3800;1,0861;-4,4515;0,203008099
13,19222414;11,46516692;11,14186155;0,3300;0,8651;-2,9211;0,718369953
13,24931593;11,50018362;11,37942261;0,2500;1,0521;0,6040;0,4800967
13,21352926;11,46910033;11,59014578;0,1400;0,7866;0,4257;0,224719795
13,25766999;11,58164365;11,26094635;0,3100;0,9271;2,0870;0,714050518
13,27199681;11,57572874;11,36948854;-0,2300;0,8089;3,0132;0,56831099
13,27257959;11,60159613;11,39771177;0,2400;0,7979;-2,9974;0,568210016
13,26993679;11,52951969;11,42477487;0,1900;0,8023;-1,6090;0,472248696
13,21984622;11,63105322;11,40441259;0,1600;0,6385;-0,1841;0,604625701
13,25712494;11,49427458;11,54467088;0,4200;0,6439;1,3019;0,291159911
13,28814084;11,56513302;11,57702653;0,2800;0,5682;1,9492;0,316576527
13,3266;11,9039328;11,75050739;0,4400;0,5384;0,4832;1,985919684
